# {"t_start": 1594085024.5736594, "env_id": "MountainToyCar-v1"} 
r,l,t
-400.0,400,3.689046
-400.0,400,4.187459
-400.0,400,4.688264
-400.0,400,5.188403
-400.0,400,5.684731
-400.0,400,56.701876
-400.0,400,57.202656
-400.0,400,57.702754
-400.0,400,58.20494
-400.0,400,58.702305
-400.0,400,69.222411
-400.0,400,69.721835
-400.0,400,70.226122
-400.0,400,70.734307
-400.0,400,71.25634
-400.0,400,81.906487
-400.0,400,82.418869
-400.0,400,82.92172
-400.0,400,83.431368
-400.0,400,83.930537
-400.0,400,94.690425
-400.0,400,95.19849
-400.0,400,95.700837
-400.0,400,96.198351
-400.0,400,96.70094
-400.0,400,107.246489
-400.0,400,107.74551
-400.0,400,108.25225
-400.0,400,108.752264
-400.0,400,109.252598
-400.0,400,119.803053
-400.0,400,120.314007
-400.0,400,120.817495
-400.0,400,121.318303
-400.0,400,121.817225
-400.0,400,132.367407
-400.0,400,132.859926
-400.0,400,133.35581
-400.0,400,133.854642
-400.0,400,134.354859
-400.0,400,144.866976
-400.0,400,145.367416
-400.0,400,145.872965
-400.0,400,146.378539
-400.0,400,146.87354
-400.0,400,147.379773
-400.0,400,157.915741
-400.0,400,158.424612
-400.0,400,158.928462
-400.0,400,159.432228
-400.0,400,159.93242
-400.0,400,170.445599
-400.0,400,170.953851
-400.0,400,171.475367
-400.0,400,171.979631
-400.0,400,172.482959
-400.0,400,182.957697
-400.0,400,183.466188
-400.0,400,183.967375
-400.0,400,184.467568
-400.0,400,184.965379
-400.0,400,195.493295
-400.0,400,195.997005
-400.0,400,196.499743
-400.0,400,196.994901
-400.0,400,197.496965
-400.0,400,208.016319
-400.0,400,208.518309
-400.0,400,209.018735
-400.0,400,209.52136
-400.0,400,210.028458
-400.0,400,220.599277
-400.0,400,221.102918
-400.0,400,221.600628
-400.0,400,222.102886
-400.0,400,222.602506
-400.0,400,233.186175
-400.0,400,233.684765
-400.0,400,234.186604
-400.0,400,234.703324
-400.0,400,235.20718
-400.0,400,245.649794
-400.0,400,246.145797
-400.0,400,246.64185
-400.0,400,247.147072
-400.0,400,247.651481
-400.0,400,248.151403
-400.0,400,258.807242
-400.0,400,259.303597
-400.0,400,259.804845
-400.0,400,260.302713
-400.0,400,260.802231
-400.0,400,271.334158
-400.0,400,271.838055
-400.0,400,272.344893
-400.0,400,272.846302
-400.0,400,273.349189
-400.0,400,283.87817
-400.0,400,284.384732
-400.0,400,284.911877
-400.0,400,285.421521
-400.0,400,285.92645
-400.0,400,296.457181
-400.0,400,296.961836
-400.0,400,297.466288
-400.0,400,297.965529
-400.0,400,298.496814
-400.0,400,308.983382
-400.0,400,309.48538
-400.0,400,309.980372
-400.0,400,310.484289
-400.0,400,310.990742
-400.0,400,321.566085
-400.0,400,322.071281
-400.0,400,322.565887
-400.0,400,323.060244
-400.0,400,323.55863
-400.0,400,334.07246
-400.0,400,334.57899
-400.0,400,335.074993
-400.0,400,335.580679
-400.0,400,336.08524
-400.0,400,346.586811
-400.0,400,347.085474
-400.0,400,347.599287
-400.0,400,348.093263
-400.0,400,348.610234
-400.0,400,349.11429
-400.0,400,359.66327
-400.0,400,360.166834
-400.0,400,360.66915
-400.0,400,361.170492
-400.0,400,361.666702
-400.0,400,412.57664
-400.0,400,413.082474
-400.0,400,413.587062
-400.0,400,414.088518
-400.0,400,414.596356
-400.0,400,425.169364
-400.0,400,425.671183
-400.0,400,426.179654
-400.0,400,426.70018
-400.0,400,427.200435
-400.0,400,437.723501
-400.0,400,438.224832
-400.0,400,438.735682
-400.0,400,439.240222
-400.0,400,439.73687
-400.0,400,450.514681
-400.0,400,451.022466
-400.0,400,451.529667
-400.0,400,452.02422
-400.0,400,452.523092
-400.0,400,462.36527
-400.0,400,462.791574
-400.0,400,463.220809
-400.0,400,463.647725
-400.0,400,464.073775
-400.0,400,473.19414
-400.0,400,473.626585
-400.0,400,474.056958
-400.0,400,474.489338
-400.0,400,474.918557
-400.0,400,484.02497
-400.0,400,484.454794
-400.0,400,484.886565
-400.0,400,485.319185
-400.0,400,485.746548
-400.0,400,494.825809
-400.0,400,495.253885
-400.0,400,495.683135
-400.0,400,496.107867
-400.0,400,496.533422
-400.0,400,496.959054
-400.0,400,506.004322
-400.0,400,506.435243
-400.0,400,506.863233
-400.0,400,507.290321
-400.0,400,507.721763
-400.0,400,516.841687
-400.0,400,517.273338
-400.0,400,517.704761
-400.0,400,518.135556
-400.0,400,518.569927
-400.0,400,527.658616
-400.0,400,528.084959
-400.0,400,528.518495
-400.0,400,528.944729
-400.0,400,529.370581
-400.0,400,538.378282
-400.0,400,538.813376
-400.0,400,539.240311
-400.0,400,539.669402
-400.0,400,540.097682
-400.0,400,549.164178
-400.0,400,549.588447
-400.0,400,550.013937
-400.0,400,550.440443
-400.0,400,550.865688
-400.0,400,559.861627
-400.0,400,560.283396
-400.0,400,560.707922
-400.0,400,561.136871
-400.0,400,561.562581
-400.0,400,570.634328
-400.0,400,571.063415
-400.0,400,571.493989
-400.0,400,571.92555
-400.0,400,572.355778
-400.0,400,581.496958
-400.0,400,581.925266
-400.0,400,582.357517
-400.0,400,582.787269
-400.0,400,583.216134
-400.0,400,583.646427
-400.0,400,592.712095
-400.0,400,593.139099
-400.0,400,593.562704
-400.0,400,593.983862
-400.0,400,594.412385
-400.0,400,603.419843
-400.0,400,603.843357
-400.0,400,604.266466
-400.0,400,604.690516
-400.0,400,605.11472
-400.0,400,614.108625
-400.0,400,614.532721
-400.0,400,614.970548
