# {"t_start": 1582159160.5053852, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-8.953226,50,2.596917
-18.925229,50,2.707577
-18.610408,50,2.821881
-8.46013,50,2.937534
-21.439211,50,3.047734
-4.575596,50,3.160756
-19.478857,50,3.275093
-18.398843,50,3.384425
-4.459631,50,3.503268
-1.239706,50,3.618983
-17.155365,50,3.728764
-15.033058,50,3.836121
-18.227765,50,3.94475
-12.221182,50,4.05224
-21.156322,50,4.165781
-7.47441,50,4.275217
-19.187241,50,4.391789
-8.536972,50,4.505178
-13.75945,50,4.621001
-2.054089,50,4.729913
-22.43302,50,4.84161
-10.27855,50,4.953284
-9.446346,50,5.064178
-18.467215,50,5.176829
-7.672466,50,5.286192
-12.34176,50,5.397099
-13.768445,50,5.504236
-8.821107,50,5.620989
-17.701147,50,5.730274
-11.470246,50,5.848016
-11.278428,50,5.955409
-6.191415,50,6.075817
-11.82077,50,6.207395
-19.786761,50,6.338203
-8.964826,50,6.469902
-11.755453,50,6.602381
-11.122175,50,6.73534
-18.130185,50,6.866103
-14.358646,50,6.992846
-7.433184,50,7.123944
-10.283133,50,36.997091
-8.962499,50,37.210284
-23.208543,50,37.427399
-6.705964,50,37.642159
-3.44906,50,37.860582
-13.323243,50,38.084479
-17.965234,50,38.299259
-21.968887,50,38.512243
-15.307566,50,38.727035
-12.626044,50,38.948199
-12.265014,50,39.158673
-7.124372,50,39.377149
-8.688695,50,39.591031
-7.607528,50,39.814327
-8.569244,50,40.033129
-10.243649,50,40.246528
-13.16553,50,40.457232
-19.02511,50,40.666494
-1.566714,50,40.877959
-11.550609,50,41.094184
-10.077491,50,41.274271
-14.381734,50,41.432791
-8.61726,50,41.575553
-10.003947,50,41.743381
-19.344678,50,41.904476
-4.336025,50,42.066989
-22.09543,50,42.218152
-9.034125,50,42.34404
-19.754232,50,42.472434
-8.920668,50,42.60531
-11.841838,50,42.740055
-10.630373,50,42.868267
-24.905439,50,42.997364
-16.827401,50,43.132331
-12.812461,50,43.262059
-19.907241,50,43.388209
-25.134273,50,43.513352
-19.822921,50,43.631917
-13.243325,50,43.748636
-8.670171,50,43.884121
-3.429492,50,44.030693
-13.66153,50,62.092816
-5.364217,50,62.25637
-25.908394,50,62.406114
-4.183527,50,62.553801
-6.036496,50,62.707891
-19.697183,50,62.854495
-5.095826,50,62.999379
-15.156509,50,63.151318
-9.097375,50,63.305654
-9.89966,50,63.447826
-12.22961,50,63.597623
-11.219375,50,63.757948
-7.387293,50,63.919999
-9.217899,50,64.087839
-5.305621,50,64.258323
-7.418282,50,64.422157
-12.85582,50,64.585237
-8.572886,50,64.783033
-20.797023,50,64.964676
-4.928667,50,65.154979
-3.634079,50,65.340925
-3.942423,50,65.532505
-6.829475,50,65.719694
-21.566353,50,65.914062
-2.712481,50,66.105401
-12.915755,50,66.29816
-16.946792,50,66.493137
-7.484384,50,66.688944
-9.238541,50,66.878766
-17.333587,50,67.063673
-11.292645,50,67.265696
