# {"t_start": 1582159178.5111873, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-8.953226,50,3.253503
-18.925229,50,3.407608
-18.610408,50,3.54964
-8.46013,50,3.687163
-21.439211,50,3.827622
-4.575596,50,3.976294
-19.478857,50,4.130491
-18.398843,50,4.308545
-4.459631,50,4.449232
-1.239706,50,4.585557
-17.155365,50,4.724384
-15.033058,50,4.860696
-18.227765,50,4.991967
-12.221182,50,5.110663
-21.156322,50,5.236397
-7.47441,50,5.354759
-19.187241,50,5.474235
-8.536972,50,5.593165
-13.75945,50,5.709805
-2.054089,50,5.820089
-22.43302,50,5.946549
-10.27855,50,6.088447
-9.446346,50,6.206201
-18.467215,50,6.324764
-7.672466,50,6.442659
-12.34176,50,6.577135
-13.768445,50,6.700125
-8.821107,50,6.833456
-17.701147,50,6.962747
-11.470246,50,7.097805
-11.278428,50,7.218745
-6.191415,50,7.342295
-11.82077,50,7.461944
-19.786761,50,7.581341
-8.964826,50,7.704629
-11.755453,50,7.824852
-11.122175,50,7.943698
-18.130185,50,8.066784
-14.358646,50,8.191216
-7.433184,50,8.31883
-10.283133,50,39.8845
-4.656592,50,40.104078
-22.740351,50,40.319326
-6.35383,50,40.53664
-7.513679,50,40.744908
-14.827007,50,40.975604
-5.480133,50,41.202228
-20.04154,50,41.422863
-12.533871,50,41.589271
-12.254422,50,41.745742
-14.975527,50,41.892406
-7.949007,50,42.044737
-3.200912,50,42.202879
-6.840483,50,42.345564
-8.825767,50,42.497263
-9.620252,50,42.641993
-12.557419,50,42.762486
-12.357071,50,42.891703
-2.943572,50,43.020997
-10.793389,50,43.15204
-10.025626,50,43.307665
-13.352266,50,43.466966
-9.96402,50,43.612683
-12.746314,50,43.769931
-17.270233,50,43.926613
-2.89338,50,44.086148
-11.58516,50,44.245606
-3.756444,50,44.399537
-3.353129,50,44.545269
-11.309291,50,44.696648
-21.467419,50,44.84467
-10.913842,50,44.989079
-23.685279,50,45.150372
-18.384195,50,45.322081
-10.759691,50,45.466858
-15.073094,50,45.610176
-24.227499,50,45.765974
-9.960923,50,45.93753
-11.915859,50,46.102871
-8.181953,50,46.267089
-4.50728,50,46.431045
-8.431683,50,81.168363
-15.696261,50,81.512739
-25.908394,50,81.860797
-11.604592,50,82.238385
-10.891402,50,82.617926
-5.540369,50,82.99488
-3.664253,50,83.365253
-19.694106,50,83.748663
-12.50599,50,83.993087
-10.142526,50,84.217618
-12.141863,50,84.444085
-12.587268,50,84.671973
-4.075014,50,84.903646
-6.600423,50,85.137057
-4.038795,50,85.365735
-4.17729,50,85.598008
-10.039138,50,85.819888
-6.322005,50,86.0416
-14.94112,50,86.264825
-4.990034,50,86.503364
-2.75967,50,86.737384
-3.770014,50,86.966814
-12.805343,50,87.166026
-15.416744,50,87.397667
-3.782281,50,87.618227
-16.54484,50,87.825731
-18.781706,50,88.036377
-15.490774,50,88.259394
-14.768263,50,88.473186
-11.363831,50,88.698596
-11.403206,50,88.928224
-7.048341,50,89.144851
-15.327986,50,89.372173
-8.824018,50,89.577461
-9.370142,50,89.796068
-9.180186,50,90.022856
-14.74635,50,90.238048
-12.61945,50,90.447364
-8.002098,50,90.668059
-7.903197,50,90.881048
-19.664513,50,91.093364
-11.575547,50,139.013025
-3.897538,50,139.416561
-13.223608,50,139.797548
-9.639321,50,140.178033
-8.197495,50,140.547046
-3.816919,50,140.916908
-5.717407,50,141.278023
-12.446759,50,141.65337
-10.618277,50,142.025445
-15.18585,50,142.271963
-6.761297,50,142.504166
-25.18795,50,142.739471
-2.471044,50,143.045746
-8.839467,50,143.31326
-13.320751,50,143.570193
-19.47384,50,143.833813
-11.658607,50,144.102286
-10.149088,50,144.362914
-7.324294,50,144.640594
-1.069881,50,144.903411
-20.023272,50,145.161271
-20.619992,50,145.409069
-15.821451,50,145.65601
-3.426593,50,145.900363
-2.789247,50,146.150259
-9.040413,50,146.397181
-6.536199,50,146.615839
-11.62938,50,146.835335
-6.648517,50,147.050312
-4.035973,50,147.311862
-8.88681,50,147.559613
-11.109059,50,147.801507
-2.76753,50,148.056114
-11.557364,50,148.317546
-18.340892,50,148.566217
-15.788852,50,148.779778
-11.63081,50,148.989728
-8.882819,50,149.223914
-8.046946,50,149.521268
-11.204863,50,149.778105
-7.314611,50,150.010401
-4.11819,50,198.93814
-15.261633,50,199.328396
-20.889672,50,199.753064
-6.928185,50,200.133567
-25.546383,50,200.507162
-10.16989,50,200.88005
-14.840146,50,201.249178
-5.431705,50,201.621314
-13.002966,50,201.986676
-10.160649,50,202.279603
-25.785643,50,202.505445
-10.127034,50,202.725815
-11.805877,50,202.948097
-10.698459,50,203.168755
-24.839345,50,203.39616
-8.45334,50,203.616509
-6.594572,50,203.837729
-18.681353,50,204.062122
-4.840772,50,204.283764
-10.740388,50,204.506879
-9.505133,50,204.736133
-7.551321,50,204.957845
-17.693762,50,205.182702
-16.662616,50,205.39336
-12.097086,50,205.60925
-13.797358,50,205.813128
-8.570925,50,206.022485
-3.924721,50,206.23642
-18.299645,50,206.454167
-6.701465,50,206.670691
-8.636937,50,206.887486
-5.201703,50,207.106281
-11.276609,50,207.457139
-1.639555,50,207.982494
-9.118178,50,208.52676
-4.059962,50,209.094609
-14.720073,50,209.616814
-9.255669,50,209.929061
-1.267945,50,210.148052
-15.32272,50,210.361508
-16.889226,50,210.571995
-20.142107,50,255.028532
-20.327458,50,255.387881
-20.188958,50,255.770978
-21.321709,50,256.147658
-15.161408,50,256.569357
-3.32668,50,256.950019
-9.263187,50,257.340298
-22.213054,50,257.719786
-2.405736,50,258.097348
-2.663268,50,258.474772
-5.112071,50,258.768601
-8.150385,50,258.989344
-17.048634,50,259.210704
-8.185058,50,259.440167
-6.929403,50,259.664137
-21.437995,50,259.894039
-10.035105,50,260.127426
-2.823356,50,260.351712
-17.303067,50,260.573592
-19.475673,50,260.789737
-10.169999,50,261.017764
-15.293074,50,261.253827
-12.740127,50,261.486605
-19.011405,50,261.721988
-12.686744,50,261.922833
-15.432594,50,262.15464
-4.592263,50,262.391457
-2.321213,50,262.612397
-25.984727,50,262.851958
-17.252574,50,263.077055
-9.22966,50,263.310514
-13.440931,50,263.549361
-8.925934,50,263.77914
-6.455807,50,264.014351
-6.253333,50,264.260855
-5.79512,50,264.513452
-12.795897,50,264.763464
-5.241919,50,265.027407
-15.40762,50,265.255083
-5.818864,50,265.492691
-14.207599,50,265.72944
-9.998742,50,313.45321
-5.403547,50,313.868653
-13.606893,50,314.292774
-8.020923,50,314.713563
-12.259091,50,315.119171
-18.80612,50,315.493863
-7.088701,50,315.902756
-14.42155,50,316.285179
-15.011691,50,316.643161
-15.516105,50,317.048814
-11.951318,50,317.458066
-6.077788,50,317.766979
-6.004109,50,318.023049
-12.23035,50,318.288337
-16.624014,50,318.526696
-13.420953,50,318.764377
-8.81497,50,319.012332
-7.775367,50,319.25141
-16.288615,50,319.49003
-10.191512,50,319.740127
-10.835706,50,319.980872
-20.640916,50,320.223464
-12.343287,50,320.462162
-12.674213,50,320.724663
-16.109547,50,320.985627
-5.347739,50,321.207323
-6.248132,50,321.452554
-3.055595,50,321.694993
-9.111439,50,321.93974
-6.897712,50,322.188914
-3.116303,50,322.428005
-12.539316,50,322.678288
-11.990128,50,322.916927
-17.743846,50,323.145016
-3.335934,50,323.383757
-19.917303,50,323.607821
-3.552041,50,323.858684
-26.423515,50,324.096095
-7.476735,50,324.335441
-11.509904,50,324.566355
-5.015332,50,324.790102
-12.487031,50,373.996807
-7.369637,50,374.401104
-15.540575,50,374.814604
-6.488804,50,375.252189
-6.998517,50,375.685301
-5.149381,50,376.106961
-13.226751,50,376.499099
-15.687423,50,376.915049
-19.303078,50,377.309959
-3.068868,50,377.720215
-14.869417,50,378.128788
-13.929147,50,378.52435
-4.161672,50,378.837772
-3.850147,50,379.077862
-6.906177,50,379.323658
-10.993754,50,379.578535
-7.678279,50,379.823189
-14.562224,50,380.067826
-1.615121,50,380.319621
-8.581761,50,380.571505
-15.605395,50,380.810639
-3.456162,50,381.064436
-10.748407,50,381.310003
-5.414263,50,381.560057
-6.308481,50,381.803735
-4.731672,50,382.053185
-3.548248,50,382.284304
-8.268669,50,382.506541
-15.225528,50,382.725321
-6.849827,50,382.952082
-15.537876,50,383.186495
-10.666422,50,383.415346
-8.543215,50,383.654719
-4.709017,50,383.883757
-12.0375,50,384.106614
-15.690049,50,384.333172
-7.018807,50,384.561052
-10.413326,50,384.794202
-14.467601,50,385.023837
-14.251616,50,385.261219
-18.792216,50,385.490096
-17.306689,50,434.577954
-3.126375,50,434.974166
-4.970941,50,435.36774
-2.302583,50,435.755875
-5.159126,50,436.138752
-18.154929,50,436.537724
-5.826769,50,436.93024
-7.331752,50,437.32385
-4.585175,50,437.708553
-22.982813,50,438.110683
-14.376982,50,438.523596
-9.116925,50,438.938399
-13.358793,50,439.346493
-13.878629,50,439.725426
-22.264237,50,439.974761
-8.207372,50,440.227021
-4.147219,50,440.484815
-9.187251,50,440.724893
-8.28763,50,440.974606
-19.582762,50,441.222736
-8.313152,50,441.472603
-4.400748,50,441.718379
-4.670574,50,441.960303
-17.834551,50,442.216362
-13.8469,50,442.456633
-14.253854,50,442.70141
-3.653323,50,442.953162
-4.171197,50,443.206196
-2.687735,50,443.452301
-20.318881,50,443.706186
-16.513382,50,443.95647
-19.566984,50,444.198506
-9.030539,50,444.451055
-4.330553,50,444.685414
-7.488004,50,444.938917
-10.578605,50,445.195812
-6.191372,50,445.434623
-4.323794,50,445.667674
-7.06764,50,445.903095
-16.625918,50,446.136116
-2.297713,50,446.370826
-11.070968,50,494.259232
-16.127999,50,494.652085
-4.259748,50,495.050255
-15.461306,50,495.438777
-3.752571,50,495.847222
-10.869239,50,496.24921
-20.484731,50,496.647969
-8.294762,50,497.169881
-2.863768,50,497.852457
-13.521153,50,498.560213
-8.969354,50,499.305701
-13.319943,50,500.017331
-13.648331,50,500.570386
-8.115445,50,500.971763
-11.125324,50,501.237767
-10.621866,50,501.4679
-8.200271,50,501.705176
-5.284108,50,501.948502
-13.541133,50,502.205575
-5.607151,50,502.459217
-16.65657,50,502.699279
-5.035245,50,502.94783
-6.778854,50,503.193153
-22.751656,50,503.42762
-8.084516,50,503.685484
-4.543868,50,503.936634
-6.678348,50,504.182805
-8.991454,50,504.420833
-18.309736,50,504.652501
-9.166404,50,504.893699
-16.399812,50,505.123729
-10.083834,50,505.369252
-2.964292,50,505.620398
-7.028387,50,505.859382
-19.642945,50,506.102072
-16.467074,50,506.353146
-10.087335,50,506.593948
-7.499649,50,506.833305
-6.308717,50,507.087492
-12.024149,50,507.316282
-5.866358,50,507.567662
-4.279449,50,554.232953
-11.231701,50,554.43957
-16.14281,50,554.660054
-5.172832,50,554.872913
-9.282612,50,555.097543
-11.666266,50,555.324738
-18.08597,50,555.548346
-18.809411,50,555.776358
-11.491428,50,556.007199
-15.286582,50,556.231975
-15.600737,50,556.462294
-15.874587,50,556.689952
-8.515121,50,556.91285
-7.838742,50,557.158247
-2.67672,50,557.37818
-14.545045,50,557.610708
-4.874739,50,557.840066
-11.303551,50,558.072698
-12.962597,50,558.312806
-7.227775,50,558.542697
-9.10778,50,558.982574
-6.469695,50,559.555475
-4.472587,50,560.117773
-16.152377,50,560.644685
