# {"t_start": 1587110352.6951127, "env_id": "MountainToyCar-v1"} 
r,l,t
-400.0,400,2.825433
-400.0,400,3.28572
-400.0,400,3.745284
-400.0,400,4.207672
-400.0,400,4.666413
-400.0,400,54.876838
-400.0,400,55.341502
-400.0,400,55.802234
-400.0,400,56.26314
-400.0,400,56.752319
-400.0,400,66.11249
-400.0,400,66.582005
-400.0,400,67.052227
-400.0,400,67.523031
-400.0,400,67.992445
-400.0,400,77.778873
-400.0,400,78.30342
-400.0,400,78.823864
-400.0,400,79.345569
-400.0,400,79.86343
-400.0,400,89.817336
-400.0,400,90.298077
-400.0,400,90.770385
-400.0,400,91.25104
-400.0,400,91.719769
-400.0,400,101.116512
-400.0,400,101.583928
-400.0,400,102.055007
-400.0,400,102.522362
-400.0,400,102.991629
-400.0,400,112.307059
-400.0,400,112.766074
-400.0,400,113.225673
-400.0,400,113.684507
-400.0,400,114.144284
-400.0,400,123.380394
-400.0,400,123.840919
-400.0,400,124.300938
-400.0,400,124.761885
-400.0,400,125.223802
-400.0,400,134.456031
-400.0,400,134.923458
-400.0,400,135.389035
-400.0,400,135.874559
-400.0,400,136.360048
-400.0,400,136.868537
-400.0,400,146.73909
-400.0,400,147.294899
-400.0,400,147.852577
-400.0,400,148.447993
-400.0,400,149.026418
-400.0,400,159.261622
-400.0,400,159.759918
-400.0,400,160.229509
-400.0,400,160.71637
-400.0,400,161.212203
-400.0,400,170.918784
-400.0,400,171.390066
-400.0,400,171.856796
-400.0,400,172.327253
-400.0,400,172.797255
-400.0,400,182.148831
-400.0,400,182.610909
-400.0,400,183.073262
-400.0,400,183.534725
-400.0,400,183.996502
-400.0,400,193.385016
-400.0,400,193.855743
-400.0,400,194.326669
-400.0,400,194.796999
-400.0,400,195.264667
-400.0,400,204.639006
-400.0,400,205.10195
-400.0,400,205.564308
-400.0,400,206.028566
-400.0,400,206.492348
-400.0,400,215.773202
-400.0,400,216.23321
-400.0,400,216.695693
-400.0,400,217.160778
-400.0,400,217.623797
-400.0,400,226.606107
-400.0,400,227.072884
-400.0,400,227.557469
-400.0,400,228.098819
-400.0,400,228.633745
-400.0,400,229.218739
-400.0,400,239.223439
-400.0,400,239.685044
-400.0,400,240.184945
-400.0,400,240.731277
-400.0,400,241.284022
-400.0,400,251.884212
-400.0,400,252.425143
-400.0,400,252.983556
-400.0,400,253.543185
-400.0,400,254.061793
-400.0,400,263.899283
-400.0,400,264.411636
-400.0,400,264.927067
-400.0,400,265.442495
-400.0,400,266.032738
-400.0,400,275.551759
-400.0,400,276.090839
-400.0,400,276.645425
-400.0,400,277.13996
-400.0,400,277.675842
-400.0,400,287.225857
-400.0,400,287.751017
-400.0,400,288.236634
-400.0,400,288.694169
-400.0,400,289.196142
-400.0,400,298.127024
-400.0,400,298.59147
-400.0,400,299.057424
-400.0,400,299.515924
-400.0,400,299.975676
-400.0,400,308.831576
-400.0,400,309.297355
-400.0,400,309.763358
-400.0,400,310.302661
-400.0,400,310.767694
-400.0,400,320.09015
-400.0,400,320.568433
-400.0,400,321.041122
-400.0,400,321.521178
-400.0,400,322.008194
-400.0,400,322.503619
-400.0,400,331.058541
-400.0,400,331.533976
-400.0,400,331.997431
-400.0,400,332.457353
-400.0,400,332.916331
-400.0,400,354.659649
-400.0,400,355.127851
-400.0,400,355.597033
-400.0,400,356.065265
-400.0,400,356.534244
-400.0,400,363.397927
-400.0,400,363.854386
-400.0,400,364.311388
-400.0,400,364.768171
-400.0,400,365.225294
-400.0,400,372.013729
-400.0,400,372.481365
-400.0,400,372.949459
-400.0,400,373.417053
-400.0,400,373.884612
-400.0,400,380.692272
-400.0,400,381.151115
-400.0,400,381.609467
-400.0,400,382.068503
-400.0,400,382.527553
-400.0,400,389.360546
-400.0,400,389.843608
-400.0,400,390.32453
-400.0,400,390.798522
-400.0,400,391.272522
-400.0,400,398.097623
-400.0,400,398.557329
-400.0,400,399.017149
-400.0,400,399.475739
-400.0,400,399.935012
-400.0,400,406.64651
-400.0,400,407.106065
-400.0,400,407.568423
-400.0,400,408.028784
-400.0,400,408.489183
-400.0,400,415.221084
-400.0,400,415.684467
-400.0,400,416.143919
-400.0,400,416.603118
-400.0,400,417.063478
-400.0,400,417.523151
-400.0,400,424.274646
-400.0,400,424.742352
-400.0,400,425.210431
-400.0,400,425.681261
-400.0,400,426.149381
-400.0,400,432.91323
-400.0,400,433.372634
-400.0,400,433.830624
-400.0,400,434.289094
-400.0,400,434.747144
-400.0,400,441.423995
-400.0,400,441.882987
-400.0,400,442.341721
-400.0,400,442.800072
-400.0,400,443.258795
-400.0,400,449.995414
-400.0,400,450.452971
-400.0,400,450.910069
-400.0,400,451.367626
-400.0,400,451.824728
-400.0,400,458.632781
-400.0,400,459.100796
-400.0,400,459.568279
-400.0,400,460.036263
-400.0,400,460.503846
-400.0,400,467.344114
-400.0,400,467.814214
-400.0,400,468.282331
-400.0,400,468.748914
-400.0,400,469.21579
-400.0,400,476.375378
-400.0,400,476.932159
-400.0,400,477.39936
-400.0,400,477.863225
-400.0,400,478.398326
-400.0,400,485.607038
-400.0,400,486.066117
-400.0,400,486.525921
-400.0,400,486.983043
-400.0,400,487.439386
-400.0,400,487.895709
-400.0,400,494.719
-400.0,400,495.19089
-400.0,400,495.659714
-400.0,400,496.130964
-400.0,400,496.603068
-400.0,400,503.377797
-400.0,400,503.839122
-400.0,400,504.296712
-400.0,400,504.753616
-400.0,400,505.211117
-400.0,400,511.958759
-400.0,400,512.418515
-400.0,400,512.877617
-400.0,400,513.336875
-400.0,400,513.803684
-400.0,400,520.839008
-400.0,400,521.316819
-400.0,400,521.833302
-400.0,400,522.320801
-400.0,400,522.81223
-400.0,400,530.126894
-400.0,400,530.599052
-400.0,400,531.070245
-400.0,400,531.538895
-400.0,400,532.008971
-400.0,400,539.0404
-400.0,400,539.507606
-400.0,400,539.975355
-400.0,400,540.464134
-400.0,400,540.950368
-400.0,400,548.263228
-400.0,400,548.823455
-400.0,400,549.314187
-400.0,400,549.781072
-400.0,400,550.26344
-400.0,400,557.080982
-400.0,400,557.549858
-400.0,400,558.020003
-400.0,400,558.487294
-400.0,400,558.95898
-400.0,400,559.427697
-400.0,400,566.269353
-400.0,400,566.736099
-400.0,400,567.203488
-400.0,400,567.670007
-400.0,400,568.136985
-400.0,400,589.549397
-400.0,400,590.028738
-400.0,400,590.502185
-400.0,400,590.975745
-400.0,400,591.454461
-400.0,400,598.385431
-400.0,400,598.853321
-400.0,400,599.315356
-400.0,400,599.773951
-400.0,400,600.234522
-400.0,400,607.092803
-400.0,400,607.607689
-400.0,400,608.079151
-400.0,400,608.542752
-400.0,400,609.00596
-400.0,400,615.896189
-400.0,400,616.376766
-400.0,400,616.85235
-400.0,400,617.327963
-400.0,400,617.803337
-400.0,400,625.244817
-400.0,400,625.717084
-400.0,400,626.212529
-400.0,400,626.714526
-400.0,400,627.172859
-400.0,400,633.965005
-400.0,400,634.459118
-400.0,400,634.919237
-400.0,400,635.378299
-400.0,400,635.850149
-400.0,400,642.887749
-400.0,400,643.352124
-400.0,400,643.816478
-400.0,400,644.279382
-400.0,400,644.762674
-400.0,400,651.652911
-400.0,400,652.265823
-400.0,400,652.855253
-400.0,400,653.387091
-400.0,400,653.909626
-400.0,400,654.45999
-400.0,400,661.597027
-400.0,400,662.072023
-400.0,400,662.546266
-400.0,400,663.021143
