# {"t_start": 1587202739.918505, "env_id": "MountainToyCar-v1"} 
r,l,t
-400.0,400,0.443259
-400.0,400,0.722973
-400.0,400,1.004927
-400.0,400,1.283877
-400.0,400,1.563176
-400.0,400,35.451584
-400.0,400,35.761329
-400.0,400,36.059481
-400.0,400,36.351042
-400.0,400,36.642071
-400.0,400,47.43806
-400.0,400,47.736538
-400.0,400,48.027597
-400.0,400,48.322344
-400.0,400,48.613139
-400.0,400,59.585645
-400.0,400,59.903161
-400.0,400,60.198523
-400.0,400,60.501045
-400.0,400,60.795752
-400.0,400,71.723533
-400.0,400,72.034244
-400.0,400,72.346555
-400.0,400,72.663121
-400.0,400,72.978486
-400.0,400,84.317969
-400.0,400,84.621943
-400.0,400,84.928488
-400.0,400,85.235757
-400.0,400,85.540409
-400.0,400,96.599767
-400.0,400,96.906791
-400.0,400,97.210719
-400.0,400,97.518783
-400.0,400,97.822562
-400.0,400,109.027175
-400.0,400,109.328119
-400.0,400,109.629696
-400.0,400,109.929258
-400.0,400,110.233918
-400.0,400,120.975171
-400.0,400,121.276604
-400.0,400,121.576461
-400.0,400,121.875664
-400.0,400,122.176533
-400.0,400,122.477747
-400.0,400,133.254053
-400.0,400,133.542668
-400.0,400,133.829895
-400.0,400,134.130866
-400.0,400,134.430639
-400.0,400,145.110456
-400.0,400,145.40861
-400.0,400,145.709428
-400.0,400,146.006909
-400.0,400,146.294528
-400.0,400,157.069895
-400.0,400,157.372559
-400.0,400,157.675811
-400.0,400,157.974177
-400.0,400,158.262251
-400.0,400,168.921857
-400.0,400,169.212307
-400.0,400,169.500736
-400.0,400,169.792586
-400.0,400,170.082051
-400.0,400,180.912807
-400.0,400,181.211856
-400.0,400,181.51216
-400.0,400,181.814597
-400.0,400,182.106498
-400.0,400,192.84133
-400.0,400,193.130538
-400.0,400,193.43107
-400.0,400,193.735773
-400.0,400,194.028672
-400.0,400,204.792288
-400.0,400,205.08028
-400.0,400,205.369612
-400.0,400,205.662181
-400.0,400,205.955179
-400.0,400,216.671738
-400.0,400,216.971882
-400.0,400,217.274245
-400.0,400,217.578439
-400.0,400,217.876416
-400.0,400,218.168358
-400.0,400,228.809008
-400.0,400,229.096304
-400.0,400,229.390178
-400.0,400,229.689055
-400.0,400,229.982559
-400.0,400,240.797307
-400.0,400,241.090179
-400.0,400,241.378853
-400.0,400,241.672894
-400.0,400,241.960249
-400.0,400,252.597155
-400.0,400,252.896165
-400.0,400,253.18207
-400.0,400,253.478051
-400.0,400,253.765333
-400.0,400,264.533895
-400.0,400,264.820043
-400.0,400,265.107592
-400.0,400,265.401175
-400.0,400,265.68659
-400.0,400,276.378881
-400.0,400,276.677156
-400.0,400,276.973075
-400.0,400,277.267299
-400.0,400,277.558077
-400.0,400,288.198982
-400.0,400,288.492672
-400.0,400,288.79305
-400.0,400,289.092564
-400.0,400,289.389007
-400.0,400,300.176131
-400.0,400,300.464787
-400.0,400,300.753439
-400.0,400,301.04467
-400.0,400,301.332265
-400.0,400,311.987423
-400.0,400,312.276529
-400.0,400,312.566149
-400.0,400,312.860378
-400.0,400,313.147908
-400.0,400,313.438907
-400.0,400,324.05116
-400.0,400,324.340002
-400.0,400,324.640292
-400.0,400,324.929307
-400.0,400,325.218588
-400.0,400,359.251927
-400.0,400,359.560777
-400.0,400,359.853114
-400.0,400,360.13935
-400.0,400,360.422743
-400.0,400,370.915393
-400.0,400,371.19505
-400.0,400,371.475873
-400.0,400,371.757929
-400.0,400,372.044656
-400.0,400,382.70613
-400.0,400,382.995097
-400.0,400,383.291011
-400.0,400,383.580085
-400.0,400,383.871814
-400.0,400,394.405008
-400.0,400,394.693927
-400.0,400,394.991863
-400.0,400,395.292708
-400.0,400,395.596373
-400.0,400,406.355881
-400.0,400,406.658085
-400.0,400,406.958417
-400.0,400,407.246167
-400.0,400,407.533589
-400.0,400,418.080004
-400.0,400,418.369251
-400.0,400,418.661326
-400.0,400,418.954985
-400.0,400,419.259932
-400.0,400,430.007929
-400.0,400,430.296486
-400.0,400,430.587643
-400.0,400,430.874686
-400.0,400,431.162825
-400.0,400,441.679561
-400.0,400,441.972626
-400.0,400,442.267192
-400.0,400,442.555447
-400.0,400,442.84285
-400.0,400,443.132492
-400.0,400,453.748974
-400.0,400,454.03831
-400.0,400,454.329211
-400.0,400,454.622949
-400.0,400,454.915902
-400.0,400,465.228349
-400.0,400,465.520931
-400.0,400,465.813111
-400.0,400,466.096656
-400.0,400,466.379151
-400.0,400,476.942886
-400.0,400,477.244276
-400.0,400,477.533588
-400.0,400,477.821596
-400.0,400,478.112452
-400.0,400,488.781219
-400.0,400,489.064447
-400.0,400,489.349895
-400.0,400,489.643693
-400.0,400,489.932293
-400.0,400,500.54912
-400.0,400,500.856042
-400.0,400,501.14508
-400.0,400,501.435424
-400.0,400,501.72526
-400.0,400,512.440273
-400.0,400,512.722889
-400.0,400,513.009813
-400.0,400,513.303177
-400.0,400,513.596063
-400.0,400,524.17635
-400.0,400,524.467195
-400.0,400,524.755447
-400.0,400,525.043011
-400.0,400,525.33523
-400.0,400,535.834113
-400.0,400,536.143273
-400.0,400,536.446501
-400.0,400,536.750794
-400.0,400,537.046705
-400.0,400,537.338987
-400.0,400,548.064578
-400.0,400,548.358591
-400.0,400,548.653584
-400.0,400,548.945074
-400.0,400,549.237973
-400.0,400,560.271656
-400.0,400,560.668127
-400.0,400,561.058284
-400.0,400,561.471538
-400.0,400,561.895423
-400.0,400,573.835642
-400.0,400,574.147403
-400.0,400,574.465482
-400.0,400,574.77006
-400.0,400,575.071587
-400.0,400,586.069892
-400.0,400,586.355641
-400.0,400,586.6404
-400.0,400,586.922016
-400.0,400,587.205976
-400.0,400,597.778532
-400.0,400,598.072873
-400.0,400,598.360401
-400.0,400,598.649262
-400.0,400,598.937544
-400.0,400,609.597262
-400.0,400,609.887415
-400.0,400,610.177242
-400.0,400,610.465153
-400.0,400,610.75387
-400.0,400,621.937397
-400.0,400,622.250159
-400.0,400,622.557162
-400.0,400,622.862528
-400.0,400,623.152818
-400.0,400,635.380143
-400.0,400,635.723383
-400.0,400,636.041621
-400.0,400,636.350013
-400.0,400,636.667699
-400.0,400,637.02424
-400.0,400,648.424582
-400.0,400,648.722051
-400.0,400,649.046723
-400.0,400,649.364297
-400.0,400,649.668323
-400.0,400,684.101783
-400.0,400,684.388623
-400.0,400,684.682593
-400.0,400,684.986183
-400.0,400,685.278236
-400.0,400,696.078911
-400.0,400,696.380607
-400.0,400,696.683854
-400.0,400,696.983223
-400.0,400,697.272284
-400.0,400,707.891047
-400.0,400,708.172483
-400.0,400,708.46697
-400.0,400,708.758952
-400.0,400,709.044056
-400.0,400,719.750413
-400.0,400,720.036009
-400.0,400,720.329636
-400.0,400,720.623565
-400.0,400,720.911934
-400.0,400,731.540956
-400.0,400,731.835727
-400.0,400,732.126831
-400.0,400,732.420702
-400.0,400,732.714933
-400.0,400,743.256738
-400.0,400,743.535848
-400.0,400,743.8165
-400.0,400,744.106038
-400.0,400,744.397673
-400.0,400,754.942169
-400.0,400,755.226449
-400.0,400,755.519221
-400.0,400,755.81855
-400.0,400,756.121362
-400.0,400,767.132766
-400.0,400,767.458001
-400.0,400,767.804428
-400.0,400,768.16067
-400.0,400,768.486841
-400.0,400,768.85378
-400.0,400,780.251495
-400.0,400,780.578156
-400.0,400,780.867115
-400.0,400,781.162022
-400.0,400,781.459251
-400.0,400,792.568011
-400.0,400,792.877713
-400.0,400,793.167038
-400.0,400,793.457508
-400.0,400,793.749978
-400.0,400,804.561568
-400.0,400,804.863235
-400.0,400,805.163028
-400.0,400,805.455466
-400.0,400,805.7589
-400.0,400,816.374901
-400.0,400,816.666502
-400.0,400,816.960704
-400.0,400,817.257822
-400.0,400,817.552568
-400.0,400,828.146924
-400.0,400,828.441767
-400.0,400,828.737257
-400.0,400,829.023088
-400.0,400,829.305825
-400.0,400,840.035708
-400.0,400,840.331007
-400.0,400,840.624828
-400.0,400,840.914224
-400.0,400,841.207213
-400.0,400,851.797385
-400.0,400,852.082263
-400.0,400,852.363452
-400.0,400,852.644793
-400.0,400,852.931605
-400.0,400,863.457262
-400.0,400,863.740589
-400.0,400,864.022412
-400.0,400,864.308822
-400.0,400,864.609739
-400.0,400,864.897265
-400.0,400,875.417085
-400.0,400,875.709824
-400.0,400,876.00843
-400.0,400,876.299948
-400.0,400,876.590229
-400.0,400,887.122794
-400.0,400,887.411393
-400.0,400,887.700862
-400.0,400,887.988236
-400.0,400,888.27688
-400.0,400,898.9445
-400.0,400,899.246728
-400.0,400,899.531086
-400.0,400,899.820883
-400.0,400,900.103983
-400.0,400,910.628231
-400.0,400,910.920017
-400.0,400,911.208915
-400.0,400,911.499547
-400.0,400,911.791079
-400.0,400,922.296886
-400.0,400,922.586948
-400.0,400,922.877625
-400.0,400,923.159079
-400.0,400,923.441178
-400.0,400,933.97956
-400.0,400,934.274174
-400.0,400,934.56622
-400.0,400,934.857098
-400.0,400,935.14211
-400.0,400,945.701439
-400.0,400,945.993525
-400.0,400,946.281564
-400.0,400,946.568162
-400.0,400,946.859908
-400.0,400,957.558091
-400.0,400,957.84723
-400.0,400,958.13926
-400.0,400,958.42699
-400.0,400,958.715613
-400.0,400,959.002129
-400.0,400,969.531791
-400.0,400,969.822389
-400.0,400,970.113531
-400.0,400,970.405257
-400.0,400,970.697304
-400.0,400,1005.278317
-400.0,400,1005.559772
-400.0,400,1005.843074
-400.0,400,1006.128725
-400.0,400,1006.412238
-400.0,400,1017.00812
-400.0,400,1017.311589
-400.0,400,1017.625609
-400.0,400,1017.928069
-400.0,400,1018.22243
-400.0,400,1029.298947
-400.0,400,1029.603192
-400.0,400,1029.900692
-400.0,400,1030.201703
-400.0,400,1030.494612
-400.0,400,1041.764305
-400.0,400,1042.07872
-400.0,400,1042.368146
-400.0,400,1042.712006
-400.0,400,1043.0051
-400.0,400,1053.758514
-400.0,400,1054.041399
-400.0,400,1054.323992
-400.0,400,1054.613102
-400.0,400,1054.896099
-400.0,400,1065.683223
-400.0,400,1065.965506
-400.0,400,1066.2674
-400.0,400,1066.563577
-400.0,400,1066.859843
-400.0,400,1077.462337
-400.0,400,1077.754434
-400.0,400,1078.046137
-400.0,400,1078.349325
-400.0,400,1078.64277
-400.0,400,1089.266357
-400.0,400,1089.550447
-400.0,400,1089.830488
-400.0,400,1090.121806
-400.0,400,1090.414215
-400.0,400,1090.706411
-400.0,400,1101.565589
-400.0,400,1101.854504
-400.0,400,1102.147968
-400.0,400,1102.442243
-400.0,400,1102.737083
-400.0,400,1113.274676
-400.0,400,1113.554667
-400.0,400,1113.845015
-400.0,400,1114.135431
-400.0,400,1114.428509
-400.0,400,1124.981617
-400.0,400,1125.269786
-400.0,400,1125.565069
-400.0,400,1125.855761
-400.0,400,1126.133659
-400.0,400,1136.685434
-400.0,400,1136.974601
-400.0,400,1137.269345
-400.0,400,1137.560918
-400.0,400,1137.851386
-400.0,400,1148.540019
-400.0,400,1148.832625
-400.0,400,1149.118178
-400.0,400,1149.397293
-400.0,400,1149.6799
-400.0,400,1160.218129
-400.0,400,1160.502712
-400.0,400,1160.795514
-400.0,400,1161.080474
-400.0,400,1161.362439
-400.0,400,1171.930424
-400.0,400,1172.212193
-400.0,400,1172.501503
-400.0,400,1172.79476
-400.0,400,1173.078083
-400.0,400,1183.66317
-400.0,400,1183.950884
-400.0,400,1184.242237
-400.0,400,1184.531259
-400.0,400,1184.826089
-400.0,400,1185.108886
-400.0,400,1195.713462
-400.0,400,1196.006503
-400.0,400,1196.299647
-400.0,400,1196.590037
-400.0,400,1196.880979
-400.0,400,1207.529086
-400.0,400,1207.818759
-400.0,400,1208.098534
-400.0,400,1208.379449
-400.0,400,1208.659673
-400.0,400,1219.13746
-400.0,400,1219.422566
-400.0,400,1219.70386
-400.0,400,1219.986014
-400.0,400,1220.267248
-400.0,400,1230.92581
-400.0,400,1231.208786
-400.0,400,1231.493863
-400.0,400,1231.775759
-400.0,400,1232.05578
-400.0,400,1242.675762
-400.0,400,1242.977307
-400.0,400,1243.269036
-400.0,400,1243.559902
-400.0,400,1243.849253
-400.0,400,1254.358348
-400.0,400,1254.641005
-400.0,400,1254.933501
-400.0,400,1255.215211
-400.0,400,1255.498719
-400.0,400,1266.47901
-400.0,400,1266.962615
-400.0,400,1267.329205
-400.0,400,1267.878727
-400.0,400,1268.310477
-400.0,400,1282.461288
-400.0,400,1282.88216
-400.0,400,1283.361346
-400.0,400,1283.819096
-400.0,400,1284.312399
-400.0,400,1284.810848
-400.0,400,1298.811134
-400.0,400,1299.138376
-400.0,400,1299.466328
-400.0,400,1299.791653
-400.0,400,1300.093607
-400.0,400,1338.807894
-400.0,400,1339.183159
-400.0,400,1339.559357
-400.0,400,1339.954112
-400.0,400,1340.319131
-400.0,400,1352.456509
-400.0,400,1352.7718
-400.0,400,1353.066758
-400.0,400,1353.373275
-400.0,400,1353.693789
-400.0,400,1365.035532
-400.0,400,1365.350624
-400.0,400,1365.670319
-400.0,400,1366.009497
-400.0,400,1366.332605
-400.0,400,1377.608057
-400.0,400,1377.901338
-400.0,400,1378.208585
-400.0,400,1378.505585
-400.0,400,1378.799156
-400.0,400,1389.660167
-400.0,400,1389.952949
-400.0,400,1390.244195
-400.0,400,1390.531624
-400.0,400,1390.82105
-400.0,400,1401.790853
-400.0,400,1402.083478
-400.0,400,1402.37588
-400.0,400,1402.662237
-400.0,400,1402.951852
-400.0,400,1413.738028
-400.0,400,1414.024056
-400.0,400,1414.316285
-400.0,400,1414.60448
-400.0,400,1414.893173
-400.0,400,1425.53057
-400.0,400,1425.82041
-400.0,400,1426.112853
-400.0,400,1426.398514
-400.0,400,1426.685868
